	accessRights	authors	containerURI	dataTypes	dateAvailable	description	doi	externalSubjectAreas	institutions	keywords	method	publicationDate	source	title	type_cont	version
0	http://creativecommons.org/licenses/by/4.0	Teruhisa S. KOMATSU|Yohei Koyama|Noriaki OKIMOTO|Gentaro MORIMOTO|Yousuke Ohno|Makoto Taiji	https://data.mendeley.com/datasets/vpps4vhryg	OTHER|IMAGE|TABULAR_DATA|DATASET|TEXT	2020-04-27	"Raw trajectory data (GROMACS format) of 10 microseconds all atom molecular dynamics simulation of COVID-19 related SARS-CoV-2 dimeric main protease without ligand based on PDB 6LU7, were caclulated on a special purpose computer, MDGRAPE-4A, at RIKEN BDR, JAPAN. We can observe relaxation dynamics and fluctuations of the dimeric protease over the microseconds timescale. We hope that this raw data can help drug development efforts targeting the SARS-CoV-2 main protease. Preparation details and summaries will be submitted to ""Data in Brief"". More data might be added as new version or another dataset."	10.17632/vpps4vhryg.2	Virus|Drug|Molecular Dynamics		Virus|Drug|Molecular Dynamics		2020-04-27	MENDELEY_DATA	COVID-19 related trajectory data of 10 microseconds all atom molecular dynamics simulation of SARS-CoV-2 dimeric main protease	article	2.0
1	info:eu-repo/semantics/openAccess	Durdagi, Serdar|Aksoydan, Busecan|Dogan, Berna|Sahin, Kader|Shahraki, Aida	https://zenodo.org/record/3756976	DATASET	2020-04-19	"Data includes all of the trajectories (1000) of classical all-atom molecular dynamics (MD) simulations of inhibitor N3 at the binding pocket of SARS-CoV2 main protease target (PDB ID: 6LU7). In order to decrease the size of the file only protein and ligand trajectories were provided.  Simulation has been performed with Desmond. Protein–ligand complexes were obtained from RCSB PDB (PDB ID: 6LU7). Complex was placed in the cubic boxes with explicit TIP3P water models that have 10.0 Å thickness from surfaces of protein. The system is neutralized by adding counter ions, and salt solution of 0.15M NaCl was also used to adjust the concentration of the systems. The long-range electrostatic interactions were calculated by the particle mesh Ewald method. A cutoff
radius of 9.0 Å was used for both van der Waals and Coulombic interactions. The temperature was set as 310K initially, and Nose–Hoover thermostat was used for adjustment. Martyna–Tobias–Klein protocol was employed to control the pressure, which was set at 1.01325 bar. The time-step was assigned as 2.0 fs. The default values were used for minimization and equilibration steps, and finally 100 ns production run was performed for the simulations."	10.5281/zenodo.3756976	SARS-CoV2 Main Protease, holo form, PDB 6LU7, molecular dynamics (MD) simulations, Desmond		SARS-CoV2 Main Protease, holo form, PDB 6LU7, molecular dynamics (MD) simulations, Desmond		2020-04-18	ZENODO	All Atom Molecular Dynamics Simulations of inhibitor N3 at the binding pocket of SARS-CoV2 Main Protease (PDB ID: 6LU7)	article	
2	info:eu-repo/semantics/openAccess	Durdagi, Serdar|Aksoydan, Busecan|Dogan, Berna|Sahin, Kader|Shahraki, Aida	https://zenodo.org/record/3751321	DATASET	2020-04-15	"Data includes all of the trajectories (2000) of classical all-atom molecular dynamics (MD) simulations of lopinavir at the binding pocket of SARS-CoV2 main protease target. In order to decrease the size of the file only protein and ligand trajectories were provided.  Simulation has been performed with Desmond. Protein–ligand complexes were obtained by Glide/SP docking program. Complex was placed in the cubic boxes with explicit TIP3P water models that have 10.0 Å thickness from surfaces of protein. The system is neutralized by adding counter ions, and salt solution of 0.15M NaCl was also used to adjust the concentration of the systems. The long-range electrostatic interactions were calculated by the particle mesh Ewald method. A cutoff
radius of 9.0 Å was used for both van der Waals and Coulombic interactions. The temperature was set as 310K initially, and Nose–Hoover thermostat was used for adjustment. Martyna–Tobias–Klein protocol was employed to control the pressure, which was set at 1.01325 bar. The time-step was assigned as 2.0 fs. The default values were used for minimization and equilibration steps, and finally 500 ns production run was performed for the simulations."	10.5281/zenodo.3751321	SARS-CoV2 Main Protease, lopinavir, molecular dynamics (MD) simulations, Desmond, Glide		SARS-CoV2 Main Protease, lopinavir, molecular dynamics (MD) simulations, Desmond, Glide		2020-04-14	ZENODO	All Atom Molecular Dynamics Simulations of Lopinavir at the Binding Pocket of SARS-CoV2 Main Protease	article	
3	http://creativecommons.org/licenses/by/4.0	Ryunosuke Yoshino|Nobuaki Yasuo|Masakazu Sekijima	https://data.mendeley.com/datasets/5jfsx6j75g	DATASET|FILE_SET	2020-04-21	MD simulations were performed using Desmond on supercomputer TSUBAME 3.0. The inhibitor-SARS-CoV-2 Mpro complex models were placed in the orthorhombic box with a buffer distance of 10 Å in order to create a hydration model. TIP3P water model was used for creation of the hydration model. We performed MD simulations under the NPT ensemble for 1 μs on three complex structures using OPLS3e force field. 	10.17632/5jfsx6j75g.2	Drug|Coronavirus Disease 2019|Molecular Dynamics|Molecular Docking|Severe Acute Respiratory Syndrome Coronavirus 2		Drug|Coronavirus Disease 2019|Molecular Dynamics|Molecular Docking|Severe Acute Respiratory Syndrome Coronavirus 2		2020-04-21	MENDELEY_DATA	Trajectory data of molecular dynamics simulation of SARS-CoV-2 Main Protease and inhibitor drug candidates	article	2.0
4	CC BY 4.0	Cespugli, Marco|Durmaz, Vedat|Steinkellner, Georg|Gruber, Christian C.	https://figshare.com/articles/Molecular_dynamics_simulations_of_coronavirus_2019-nCoV_protease_model_in_complex_with_G75_and_G82_ligands_covalently_bound_/11788794/1	DATASET		"Molecular dynamics simulations (500 ps MD at 310 K) of comparative model of novel coronavirus 2019-nCoV protease Mpro in complex with the covalently bound ligands G75 and G82. The starting position of the ligands has been respectively taken from 3SZN and 3TIU PDB structures.
The archives contain also an heatmap representing the protein-ligand contact frequencies. Green-boxed occurrences in the heatmap represent hydrogen bond formation during the simulation."	10.6084/m9.figshare.11788794.v1	60102 Bioinformatics|60506 Virology				2020-01-01	figshare.ars	Molecular dynamics simulations of coronavirus 2019-nCoV protease model in complex with G75 and G82 ligands (covalently bound)		
5	CC BY 4.0	Cespugli, Marco|Durmaz, Vedat|Steinkellner, Georg|Gruber, Christian C.	https://figshare.com/articles/Molecular_dynamics_simulations_of_coronavirus_2019-nCoV_protease_model_in_complex_with_G75_and_G82_ligands_covalently_bound_/11788794	DATASET		"Molecular dynamics simulations (500 ps MD at 310 K) of comparative model of novel coronavirus 2019-nCoV protease Mpro in complex with the covalently bound ligands G75 and G82. The starting position of the ligands has been respectively taken from 3SZN and 3TIU PDB structures.
The archives contain also an heatmap representing the protein-ligand contact frequencies. Green-boxed occurrences in the heatmap represent hydrogen bond formation during the simulation."	10.6084/m9.figshare.11788794	60102 Bioinformatics|60506 Virology				2020-01-01	figshare.ars	Molecular dynamics simulations of coronavirus 2019-nCoV protease model in complex with G75 and G82 ligands (covalently bound)		
6	CC BY 4.0	Cespugli, Marco|Durmaz, Vedat|Steinkellner, Georg|Gruber, Christian C.	https://figshare.com/articles/Molecular_dynamics_simulations_of_coronavirus_2019-nCoV_protease_model_in_complex_with_G75_and_G82_ligands/11771286/1	DATASET		"Molecular dynamics simulations (300 ps MD at 300 K) of comparative model of novel coronavirus 2019-nCoV protease Mpro in complex with the ligands G75 and G82. The starting position of the ligands has been respectively copied from 3SZN and 3TIU PDB structures.
The archives contain also an heatmap representing the protein-ligand contact frequencies. Green-boxed occurrences in the heatmap represent hydrogen bond formation during the simulation.
"	10.6084/m9.figshare.11771286.v1	60102 Bioinformatics|60506 Virology				2020-01-01	figshare.ars	Molecular dynamics simulations of coronavirus 2019-nCoV protease model in complex with G75 and G82 ligands		
7	CC BY 4.0	Gruber, Christian C.	https://figshare.com/articles/6_molecular_dynamics_simulations_of_coronavirus_2019-nCoV_protease_model_in_complex_with_different_conformations_of_lopinavir_/11764158/1	DATASET		Molecular dynamics simulations of comparative model of novel coronavirus 2019-nCoV protease Mpro in complex with 6 simulations of 6 different conformations based on the Catalophore point-cloud alignment and (re)- docking of lopinavir into the 2019ncov virus protease model. The docking experiment produced 8 clusters of possible conformations, we chose 6 out of 8 conformers and ran an all-atom 300 ps MD at 310 K (=36.85°C).	10.6084/m9.figshare.11764158.v1	60102 Bioinformatics|60506 Virology				2020-01-01	figshare.ars	6 molecular dynamics simulations of coronavirus 2019-nCoV protease model in complex with different conformations of lopinavir.		
8	CC BY 4.0	Cespugli, Marco|Durmaz, Vedat|Steinkellner, Georg|Gruber, Christian C.	https://figshare.com/articles/Molecular_dynamics_simulations_of_coronavirus_2019-nCoV_protease_model_in_complex_with_G75_and_G82_ligands/11771286	DATASET		"Molecular dynamics simulations (300 ps MD at 300 K) of comparative model of novel coronavirus 2019-nCoV protease Mpro in complex with the ligands G75 and G82. The starting position of the ligands has been respectively copied from 3SZN and 3TIU PDB structures.
The archives contain also an heatmap representing the protein-ligand contact frequencies. Green-boxed occurrences in the heatmap represent hydrogen bond formation during the simulation.
"	10.6084/m9.figshare.11771286	60102 Bioinformatics|60506 Virology				2020-01-01	figshare.ars	Molecular dynamics simulations of coronavirus 2019-nCoV protease model in complex with G75 and G82 ligands		
9	CC BY 4.0	Cespugli, Marco|Durmaz, Vedat|Steinkellner, Georg|Gruber, Christian C.	https://figshare.com/articles/6_molecular_dynamics_simulations_of_coronavirus_2019-nCoV_protease_model_in_complex_with_different_conformations_of_lopinavir_/11764158	DATASET		"Molecular dynamics simulations of comparative model of novel coronavirus 2019-nCoV protease Mpro in complex with 6 different conformations based on the Catalophore point-cloud alignment and (re)- docking of lopinavir into the 2019ncov virus protease model. The docking experiment produced 8 clusters of possible conformations, we chose 6 out of 8 conformers and ran an all-atom 300 ps MD at 310 K (=36.85°C).
-The two images in the main folder refers to the docked structures before MD simulation.-The file all_centroids.pse contains the frames representing the centroid of the subsequent MD simulation for each docking cluster.-Each archive contains the centroid in PDB format, the starting frame of the simulation in GRO format and the compressed trajectory in XTC format. In the directory ""other_files"" there are other data generated during the simulation, i.e. heatmap representing the contact frequency between the ligand atoms and the ones belonging to the homology model."	10.6084/m9.figshare.11764158	60102 Bioinformatics|60506 Virology				2020-01-01	figshare.ars	6 molecular dynamics simulations of coronavirus 2019-nCoV protease model in complex with different conformations of lopinavir.		
