,Title,Authors,Categories,Keywords,Description,Type of (possible) format,,,,,,,,,
0,"S6 molecular dynamics simulation trajectories of tubulin in electric field: 1e8V/m, 2e8 V/m, 3e8 V/m, A1604","['by Marracino, Paolo Havelka, Daniel Průša, Jiří Liberti, Micaela Tuszynski, Jack A. Ayoub, Ahmed T. Apollonio, Francesca Cifra, Michal', 'Marracino, Paolo', 'Marracino, Paolo', 'Havelka, Daniel', 'Havelka, Daniel', 'Průša, Jiří', 'Průša, Jiří', 'Liberti, Micaela', 'Liberti, Micaela', 'Tuszynski, Jack A.', 'Tuszynski, Jack A.', 'Ayoub, Ahmed T.', 'Ayoub, Ahmed T.', 'Apollonio, Francesca', 'Apollonio, Francesca', 'Cifra, Michal', 'Cifra, Michal']","['Microbiology', 'Molecular Biology', 'Neuroscience', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Science Policy', 'Infectious Diseases', 'Plant Biology']","['1604 Molecular dynamics simulation trajectories', 'nbsp', 'S 6', 'dynamics simulation trajectories', 'tubulin', '8V']","Molecular dynamics simulation trajectories of tubulin in electric field
traj_centered_08.xtc 1e8 V/m
traj_centered_3_08.xtc  3e8 V/m
traj_ricentrata_2_08.xtc  2e8 V/m
 ",.xtc,,,,,,,,,
1,Portable compressed binary MD trajectory file - 3KK8 A dP,"['by Alessandro Pandini Shahid Khan', 'Alessandro Pandini', 'Shahid Khan']","['10.1371/journal.pcbi.1006796', 'Computational Biology']","['GROMACS', 'XTC trajectory']",XTC trajectory,.xtc,,,,,,,,,
2,"S6 molecular dynamics simulation trajectories of tubulin in electric field: 1e7V/m, 5e7 V/m, A1604","['by Marracino, Paolo Havelka, Daniel Průša, Jiří Liberti, Micaela Tuszynski, Jack A. Ayoub, Ahmed T. Apollonio, Francesca Cifra, Michal', 'Marracino, Paolo', 'Marracino, Paolo', 'Havelka, Daniel', 'Havelka, Daniel', 'Průša, Jiří', 'Průša, Jiří', 'Liberti, Micaela', 'Liberti, Micaela', 'Tuszynski, Jack A.', 'Tuszynski, Jack A.', 'Ayoub, Ahmed T.', 'Ayoub, Ahmed T.', 'Apollonio, Francesca', 'Apollonio, Francesca', 'Cifra, Michal', 'Cifra, Michal']","['Physical Sciences not elsewhere classified', 'Microbiology', 'Cell Biology', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Cancer', 'Infectious Diseases']","['1604 Molecular dynamics simulation trajectories', 'nbsp', '7V', 'S 6', 'dynamics simulation trajectories', 'tubulin']","Molecular dynamics simulation trajectories of tubulin in electric field
traj_centered_07.xtc  1e7 V/m
traj_centered_5_07.xtc  5e7 V/m
 


 ",.xtc,,,,,,,,,
3,Portable compressed binary tCONCOORD trajectory file - 3KK8 A d,"['by Alessandro Pandini Shahid Khan', 'Alessandro Pandini', 'Shahid Khan']","['10.1371/journal.pcbi.1006796', 'Computational Biology']","['tCONCOORD', 'XTC trajectory']",XTC trajectory,.xtc,,,,,,,,,
4,Portable compressed binary MD trajectory file - 3KK8 A dT,"['by Alessandro Pandini Shahid Khan', 'Alessandro Pandini', 'Shahid Khan']","['10.1371/journal.pcbi.1006796', 'Computational Biology']","['GROMACS', 'XTC trajectory']",XTC trajectory,.xtc,,,,,,,,,
5,Portable compressed binary tCONCOORD trajectory file - 3KK8 A,"['by Alessandro Pandini Shahid Khan', 'Alessandro Pandini', 'Shahid Khan']","['10.1371/journal.pcbi.1006796', 'Computational Biology']","['tCONCOORD', 'XTC trajectory']",XTC trajectory,.xtc,,,,,,,,,
6,"S6 molecular dynamics simulation trajectories of tubulin in electric field: no field, 2e7 V/m, A1604","['by Marracino, Paolo Havelka, Daniel Průša, Jiří Liberti, Micaela Tuszynski, Jack A. Ayoub, Ahmed T. Apollonio, Francesca Cifra, Michal', 'Marracino, Paolo', 'Marracino, Paolo', 'Havelka, Daniel', 'Havelka, Daniel', 'Průša, Jiří', 'Průša, Jiří', 'Liberti, Micaela', 'Liberti, Micaela', 'Tuszynski, Jack A.', 'Tuszynski, Jack A.', 'Ayoub, Ahmed T.', 'Ayoub, Ahmed T.', 'Apollonio, Francesca', 'Apollonio, Francesca', 'Cifra, Michal', 'Cifra, Michal']","['Biophysics', 'Physical Sciences not elsewhere classified', 'Microbiology', 'Neuroscience', 'Biotechnology', 'Chemical Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Developmental Biology', 'Cancer', 'Infectious Diseases', 'Plant Biology']","['1604 Molecular dynamics simulation trajectories', 'nbsp', 'S 6', 'dynamics simulation trajectories', 'tubulin']","Molecular dynamics simulation trajectories of tubulin in electric field
traj_centered_no_field.xtc  no field
traj_centered_2_07.xtc  2e7 V/m
 ",.xtc,,,,,,,,,
7,Molecular dynamics of DSB in nucleosome,"['by Fabrizio Cleri Fabio Landuzzi Ralf Blossey', 'Fabrizio Cleri', 'Fabio Landuzzi', 'Fabio Landuzzi', 'Ralf Blossey', 'Ralf Blossey']","['Biophysics', 'Computational Biology']","['molecular dynamics', 'GROMACS', 'DNA', 'nucleosome', 'trajectories']","These files contain the coordinate files (.gro) and compact trajectory files (.xtc) from the GROMACS runs of the nucleosome models O (experimental 1kx5), M1-M4 (model O with double strand breaks at various positions). Trajectories are compacted from the .trr files, by excluding water molecules and ions. Frames are stored each 40 ps for ~1 microsecond trajectories (~25,000 frames per .xtc file, ~2 Gb each).

PLOS submitted manuscript ""Mechanical evolution of DNA double strand breaks in the nucleosome"", by F. Cleri, F. Landuzzi and R. Blossey",.xtc,,,,,,,,,
8,Multiscale molecular dynamics simulations of human P-glycoprotein in complex lipid bilayer,"['by Domicevica, Laura Koldsø, Heidi Biggin, Philip C.', 'Domicevica, Laura', 'Domicevica, Laura', 'Koldsø, Heidi', 'Koldsø, Heidi', 'Biggin, Philip C.', 'Biggin, Philip C.']","['Biophysics', 'Biochemistry', 'Physical Sciences not elsewhere classified', 'Genetics', 'Neuroscience', 'Chemical Sciences not elsewhere classified', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Mathematical Sciences not elsewhere classified', 'Developmental Biology', 'Cancer', 'Computational Biology']","['P-glycoprotein', 'atomistic', 'lipid bilayer', 'CG', 'dynamics simulations']","The topology (gro) and trajectory (xtc)  files for multiscale - coarse-grained (CG) and atomistic (AT)  molecular dynamics simulations of human P-glycoprotein in complex lipid bilayer. The coarse grained simulations are 10 microseconds long and the trajectories have 1 frame saved at every 10 ns, while the atomistic simulations are 100 ns long and have 2 frames saved at every nanosecond. ",.xtc,,,,,,,,,
9,Simulation of POPC:POPE 1:1 membrane with the Slipids force field,"['by Javanainen, Matti', 'Javanainen, Matti', 'Javanainen, Matti']","['Biophysics', 'Physical Sciences not elsewhere classified', 'Medicine', 'Biological Sciences not elsewhere classified', 'Information Systems not elsewhere classified', 'Mathematical Sciences not elsewhere classified', 'Cancer', 'Computational Biology']","['POPC', 'Slipids model', 'Slipids force field', 'parameter', '100 ps', '100 lipids', 'Gromacs simulation engine version 2019.4.']","A POPC:POPE 1:1 bilayer with 100 lipids per leaflet is simulated for 300 ns using the Slipids model and Gromacs simulation engine version 2019.4. The trajectory (.xtc) is saved every 100ps. The simulation parameters (.mdp), the energy file (.edr), the continue point to extend the simulation (.cpt), the run input parameters (.tpr), and the final structure (.gro) are also given. The lipid topologies (.itp) are provided, and the Slipids force field is available at http://www.fos.su.se/~sasha/SLipids/",.xtc,,,,,,,,,
