accessRights,authors,containerURI,dataTypes,dateAvailable,description,doi,externalSubjectAreas,institutions,keywords,method,publicationDate,source,title,type_cont,version
,"Trujillo, Kevin|Papagiannopoulos, Tasso|Olsen, Kenneth W.",https://doi.org/10.5256%2Ff1000research.6127.d43528,DATASET,,"The data are represented as trajectory files (dcd) and protein structure files (psf) for each simulation.  These files can be visualized using the molecular graphics program VMD, which can be obtained from http://www.ks.uiuc.edu/Research/vmd/.  The files are coded by the original PDBid.  WT = 3sdh, F97L = 2av0, F97V = 2auq, M37V = 2grh, M37F = 2r4w, I114F = 1jwn, and I25W = 2r4z.",10.5256/f1000research.6127.d43528,,,,,2015-01-01,bl.f1000r,Data of molecular dynamics trajectories,,
info:eu-repo/semantics/openAccess,Jiří Průša|Michal Cifra,https://zenodo.org/record/3676936,DATASET,2020-02-21,"Molecular dynamics (MD) trajectories of water solutions of eight zwitterionic amino-acids (L- form) glycine (GLY), alanine (ALA), proline (PRO), threonine (THR), leucine (LEU), glutamine (GLN), histidine (HIS) and tyrosine (TYR) using various force field (OPLS-AA, Amber99ff-SB, GROMOS96 54a7, CHARMM19) and water model (SPC/E, TIP3P) combinations.

OPLS-AA molecular dynamics (MD) trajectories for alanine (ALA), leucine (LEU), glutamine (GLN), and tyrosine (TYR) varying the values of major force field parameters: charge on all amino acid atoms, bond length (all amino acid bonds), Lennard-Jones potential epsilon parameter and stiffness of bond angles. ",10.5281/zenodo.3676936,,,,,2020-02-20,ZENODO,A1904 molecular dynamics trajectories data,article,
info:eu-repo/semantics/restrictedAccess,Walter Rocchia,https://zenodo.org/record/2649259,OTHER|DATASET,2019-11-01,"This dataset contains Molecular Dynamics trajectories of 9 endecapeptides, positioned in the pore construct. One trajectory is done in absence of any transolcating peptide.

.xtc files correspond to the trajectories and the .gro files contain the corresponding structures, they can be viewed, for example, with VMD.

Every trajectory is the concatenation of 8 trajectories, of 125 ns each, which differ for the orientation of the centrai side-chain with respect to the frame of the pore. The following name parts indicate the central residue. The 73-80 files correspond to the construct alone, taken as a reference. 

1-8   trp; 9-16  tyr; 17-24 arg; 25-32 his; 33-40 glu; 41-48 gln; 49-56 ser; 57-64 ile; 65-72 gly; 73-80 no peptide.",10.5281/zenodo.2649259,molecular dynamics,,molecular dynamics,,2019-04-30,ZENODO,Molecular dynamics simulation dataset,article,
CC BY 4.0,"Kenney, Ian M.|Shujie Fan|Beckstein, Oliver",https://doi.org/10.6084%2Fm9.figshare.7185203,DATASET,,"Molecular dynamics (MD) trajectory of the NhaA membrane protein in a POPE:POPG 4:1 model membrane. The equilibrium simulation was performed in the NPT ensemble at T=300K and P=1 bar. The system was simulated with Gromacs 5.1.4, using the CHARMM36 force field, the TIP3P explicit water model, and NaCl at approximately 100 mM concentration. 

Trajectory frames were saved every 100 ps for a total of 500 ns simulated time. The topology only contains the protein, membrane and ions (because the water molecules were stripped from the trajectory to save space).

The topology is contained in the NhaA_non_water.gro file. The trajectory is contained in the NhaA_non_water.xtc file.

",10.6084/m9.figshare.7185203,60112 Structural Biology (incl. Macromolecular Modelling)|Biophysics,,,,2018-01-01,figshare.ars,Molecular dynamics trajectory of membrane protein NhaA,,
https://www.elsevier.com/about/policies/open-access-licenses/elsevier-user-license/cpc-license/,Ioannis G. Tsoulos|Athanassios Stavrakoudis,https://data.mendeley.com/datasets/55rdy6fdyc,DATASET|FILE_SET,2019-12-05,"Abstract 
 Eucb is a standalone program for geometrical analysis of molecular dynamics trajectories of protein systems. The program is written in GNU C++ and it can be installed in any operating system running a C++ compiler. The program performs its analytical tasks based on user supplied keywords. The source code is freely available from http://stavrakoudis.econ.uoi.gr/eucb under LGPL 3 license.
 
 Title of program: Eucb
 Catalogue Id: AEIC_v1_0
 
 Nature of problem 
 Analysis of molecular dynamics trajectories.
 
 Versions of this program held in the CPC repository in Mendeley Data
 AEIC_v1_0; Eucb; 10.1016/j.cpc.2010.11.032
 
 This program has been imported from the CPC Program Library held at Queen's University Belfast (1969-2018)",10.17632/55rdy6fdyc.1,Biological Sciences|Computational Physics|Molecular Biology,,Biological Sciences|Computational Physics|Molecular Biology,,2019-12-05,MENDELEY_DATA,Eucb: A C++ program for molecular dynamics trajectory analysis ,article,1
CC BY 4.0,"Kenney, Ian M.|Shujie Fan|Beckstein, Oliver",https://doi.org/10.6084%2Fm9.figshare.7185203.v2,DATASET,,"Molecular dynamics (MD) trajectory of the NhaA membrane protein in a POPE:POPG 4:1 model membrane. The equilibrium simulation was performed in the NPT ensemble at T=300K and P=1 bar. The system was simulated with Gromacs 5.1.4, using the CHARMM36 force field, the TIP3P explicit water model, and NaCl at approximately 100 mM concentration. 

Trajectory frames were saved every 100 ps for a total of 500 ns simulated time. The topology only contains the protein, membrane and ions (because the water molecules were stripped from the trajectory to save space).

The topology is contained in the NhaA_non_water.gro file. The trajectory is contained in the NhaA_non_water.xtc file.

",10.6084/m9.figshare.7185203.v2,60112 Structural Biology (incl. Macromolecular Modelling)|Biophysics,,,,2018-01-01,figshare.ars,Molecular dynamics trajectory of membrane protein NhaA,,
CC BY 4.0,"Shujie Fan|Beckstein, Oliver",https://doi.org/10.6084%2Fm9.figshare.8202149.v1,DATASET,,"Molecular dynamics (MD) trajectory files of the YiiP membrane protein in a POPE:POPG 4:1 model membrane. The equilibrium simulation was performed in the NPT ensemble at T=300K and P=1 bar. The system was simulated with Gromacs 2018.1, using the CHARMM36 force field, the TIP3P explicit water model, NaCl at approximately 100 mM concentration, and Zinc ions.
Trajectory frames were saved every 100 ps for a total of 9 ns and 90ns simulated time. The topology contains the whole system (protein, membrane, water and ions).
The topology is contained in the YiiP_system.pdb file. The 9-ns trajectory is contained in the YiiP_system_9ns_center.xtc file. The 90-ns trajectory is contained in the YiiP_system_90ns_center.xtc file.",10.6084/m9.figshare.8202149.v1,60112 Structural Biology (incl. Macromolecular Modelling)|Biophysics,,,,2019-01-01,figshare.ars,Molecular Dynamics trajectories of membrane protein YiiP,,
CC BY 4.0,"Shujie Fan|Beckstein, Oliver",https://doi.org/10.6084%2Fm9.figshare.8202149,DATASET,,"Molecular dynamics (MD) trajectory files of the YiiP membrane protein in a POPE:POPG 4:1 model membrane. The equilibrium simulation was performed in the NPT ensemble at T=300K and P=1 bar. The system was simulated with Gromacs 2018.1, using the CHARMM36 force field, the TIP3P explicit water model, NaCl at approximately 100 mM concentration, and Zinc ions.
Trajectory frames were saved every 100 ps for a total of 9 ns and 90ns simulated time. The topology contains the whole system (protein, membrane, water and ions).
The topology is contained in the YiiP_system.pdb file. The 9-ns trajectory is contained in the YiiP_system_9ns_center.xtc file. The 90-ns trajectory is contained in the YiiP_system_90ns_center.xtc file.",10.6084/m9.figshare.8202149,60112 Structural Biology (incl. Macromolecular Modelling)|Biophysics,,,,2019-01-01,figshare.ars,Molecular Dynamics trajectories of membrane protein YiiP,,
http://creativecommons.org/licenses/by/4.0,Yevgen Yurenko|Martin Lepšík|Juraj Dobiaš,https://data.mendeley.com/datasets/vtxgt2y9rc,OTHER|SEQUENCING_DATA|DATASET|TEXT,2019-05-16,"The dataset contains molecular dynamics trajectories of 300ns simulation of three complexes of Helidye1, a novel cationic helicene-like probe for DNA detection, with double-stranded DNA.  In addition to trajectories, we add parameter files (mol2 and frc) for HeliDye1 containing atomic charges and parameter for dihedral and improper torsion angles. ",10.17632/vtxgt2y9rc.1,Molecular Dynamics|DNA|Ligand Binding|Molecular Simulation,Ustav organicke chemie a biochemie Akademie ved Ceske republiky,Molecular Dynamics|DNA|Ligand Binding|Molecular Simulation,,2019-05-16,MENDELEY_DATA,"Structures, molecular dynamics trajectories and parameter files for Helidye1-DNA complexes",article,1
http://creativecommons.org/licenses/by/4.0,Adrien Cerdan|Nicolas  Martin|Marco Cecchini,https://data.mendeley.com/datasets/mh34bc6gty,SOFTWARE_CODE|SEQUENCING_DATA|DATASET,2018-09-13,"The dataset presented here is supporting the article ""An ion permeable state of the Glycine Receptor captured by Molecular Dynamics"" (Cerdan et. al., Structure).

Are available the two DCD trajectories, related to Figure 2 and Figure S2:
- Trajectories/MD-open_protein_membrane_skip20.dcd
- Trajectories/MD-open-replica_protein_membrane_skip20.dcd

 and the the corresponding topology file:
- Trajectories/protein_membrane.psf 

leading to the MD-open structure:
- MD-open.pdb

 that we characterized as a model for the active state of the Glycine Receptor alpha 1  (See Main Text for details).

Only the protein and the membrane are available in these DCD files and a step size of 20 is applied in respect to the original trajectories.

Additionally, we provide a short (10ns) all-atom DCD trajectory of the free permeation of a chloride anion (""name CLA and resid 129""), related to Movie S1 and Movie S2:
- Trajectories/permeation.dcd

and its corresponding topology file:
- Trajectories/permeation.psf

Visualization can be achieved with various software, for example VMD.

See all details in our article.",10.17632/mh34bc6gty.1,Molecular Dynamics|Biophysics,Institut Pasteur|Universite de Strasbourg,Molecular Dynamics|Biophysics,"Molecular Dynamics simulations where carried out with NAMD2.12 starting from the Glycine Receptor alpha 1 with glycine bound cryo-EM structure (PDB: 3JAE).

See all details in our article.",2018-09-13,MENDELEY_DATA,An ion permeable state of the Glycine Receptor captured by Molecular Dynamics,article,1
info:eu-repo/semantics/openAccess,"Agosta, Lorenzo|Brandt, Erik|Lyubartsev, Alexander",https://zenodo.org/record/894325,OTHER|DATASET,2017-09-18,"This data set contains trajectories of ab-initio molecular dynamics simulations of TiO2 surfaces in water described in the paper:

L.Agosta, E.G.Brandt and A.P.Lyubartsev
""Diffusion and reaction pathways of water near fully hydrated TiO2 surfaces from ab initio molecular dynamics"",
J.Chem.Phys., 147, 024704 (2107)   doi: http://dx.doi.org/10.1063/1.4991381

Trajectories of 6 fully hydrated TiO2 surfaces are stored under respective names. Each trajectory file contains 50 ps of simulation with frames saved every 0.0005 ps. Format: PDB, gzipped.

 ",10.5281/zenodo.894325,ab-initio molecular dynamics|hydrated TiO2 surface|water reactivity,,ab-initio molecular dynamics|hydrated TiO2 surface|water reactivity,,2017-09-18,ZENODO,Ab-initio molecular dynamics trajectories of fully hydrated TiO2 surfaces,article,
info:eu-repo/semantics/restrictedAccess,Walter Rocchia|Moritz Schuette,https://zenodo.org/record/2669126,OTHER|DATASET,2019-11-01,"One has 10 classes (the 9 endecapeptides + the control). The predictions were done on each data vector using the Random Forest classifier. 

Rows are the true labels and columns the predicted ones. The values are normalized by the total number of tests.

First row would be ARG and of all predictions of the data 66% are true and 34% wrong distributed among the other amino acids as indicated in the cells.

Colors are scaled from red (0) to blue (1) followig the values.",10.5281/zenodo.2669126,Classification; Random Forest,,Classification; Random Forest,,2019-04-30,ZENODO,Confusion Matrix - Discrimination from  Molecular Dynamics trajectories,article,
http://opensource.org/licenses/MIT,Elliot Bentine|C.J. Foot|D. Trypogeorgos,https://data.mendeley.com/datasets/ywwd9nnxjh,DATASET|FILE_SET,2020-02-28,"The (py)LIon package is a set of tools to simulate the classical trajectories of ensembles of ions in electrodynamic traps. Molecular dynamics simulations are performed using LAMMPS, an efficient and feature-rich program. (py)LIon has been validated by comparison with the analytic theory describing ion trap dynamics. Notable features include GPU-accelerated force calculations, and treating collections of ions as rigid bodies to enable investigations of the rotational dynamics of large, mesoscopic charged particles.",10.17632/ywwd9nnxjh.1,Computational Physics|Molecular Dynamics,,Computational Physics|Molecular Dynamics,,2020-02-28,MENDELEY_DATA,(py)LIon: A package for simulating trapped ion trajectories,article,1
info:eu-repo/semantics/openAccess,"Miettinen, Markus S.",https://zenodo.org/record/167336,OTHER|DATASET,2017-10-13,"Collection of molecular dynamics simulation trajectories previously published in the NMRlipids community of Zenodo, and the related input files needed for their analysis. These centered (origin at the lipid bilayer center) trajectories were used in the NMRlipids II project. In addition to trajectories, files containing lipidwise C-H order parameters (for the beta and alpha segments of the PC-lipid headgroup) for each frame are provided.

Note that this upload is provided just for the ease of repetition of the analysis by the interested reader of the NMRlipids II publication Molecular electrometer and binding of cations to phospholipid bilayers (http://dx.doi.org/10.1039/c6cp04883h). If you use any data provided in here for your own work, please cite the corresponding original uploads!",10.5281/zenodo.167336,,,,,2016-11-17,ZENODO,Centered trajectories of NMRlipids II,article,
info:eu-repo/semantics/openAccess,"Stachura, Sławomir|Kneller, Gerald R.",https://zenodo.org/record/61743,OTHER|DATASET,2016-09-12,"This file contains the center-of-mass coordinates of the lipid molecules in a Molecular Dynamics simulation of a hydrated lipid bilayer. The simulated system consists of 2033 POPC (1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine) molecules and 57952 water beads (equivalent to 231808 water molecules), using the coarse-grained representation of the MARTINI force field. Note that the mass of a POPC molecule is significantly higher (936 g/mol) in this representation than the mass of a real POPC molecule (760 g/mol). The simulation was performed in an NVT ensemble at T = 320 K.


This trajectory stores the long-time dynamics of the lipid centers of masses, sampled at a time step of 18 ps up to a total length of 600 ns. The short-time dynamics are available at http://dx.doi.org/10.5281/zenodo.61742.


For a detailed description of the simulation, see the thesis of Sławomir Stachura, available at http://www.theses.fr/2014PA066239


Two analyses of this simulation have already been published:



	
S. Stachura and G.R. Kneller Anomalous lateral diffusion in lipid bilayers observed by molecular dynamics simulations with atomistic and coarse-grained force fields Mol. Sim. 40, 245-250 (2014) (http://dx.doi.org/10.1080/08927022.2013.840902)
	
S. Stachura and G.R. Kneller Probing anomalous diffusion in frequency space J. Chem. Phys. 143, 191103 (2015) (http://dx.doi.org/10.1063/1.4936129)


This work was funded by the French&nbsp;Agence Nationale de la Recherche (Contract No. ANR- 2010-COSI-01-001).


Trajectory data


The trajectory is stored in an HDF5 file that uses the ActivePapers conventions (http://www.activepapers.org/). Any HDF5-compatible software can be used to read the trajectory data. The ActivePapers software is only required to re-use the included conversion script.


The trajectory is contained in the group
&nbsp; /data/POPC_martini_nvt


It is stored in H5MD/MOSAIC format. The positions and time labels are contained in the following datasets:
&nbsp; /data/POPC_martini_nvt/particles/universe/position/value
&nbsp; /data/POPC_martini_nvt/particles/universe/position/time


For a complete specification of the H5MD/MOSAIC format, see:
&nbsp; http://nongnu.org/h5md/index.html
&nbsp; http://mosaic-data-model.github.io/mosaic-specification/h5md_mosaic_module.html


Plots


Two 3D plots are provided to give an overview of the lipid motions:
&nbsp; /documentation/all_lipids.pdf
&nbsp; shows all the lipid center-of-mass positions once every 0.3 ps.
&nbsp; /documentation/one_lipids.pdf
&nbsp; shows a single lipid center of mass position every 10 ps.
",10.5281/zenodo.61743,POPC|ActivePapers|MARTINI|molecular dynamics,Centre de Biophysique Moléculaire|CNRS|Synchrotron Soleil|Université d'Orléans,POPC|ActivePapers|MARTINI|molecular dynamics,,2016-09-07,ZENODO,Lipid center-of-mass trajectory: long-time dynamics,article,
info:eu-repo/semantics/openAccess,"Pfeiffenberger, Erik|Bates, Paul",https://zenodo.org/record/1183354,OTHER|DATASET,2018-02-28,"The uploaded trajectory data originates from our own laboratory's refinement method in CASP11 and CASP12 for which the reference crystal structure is available in the PDB. In total the trajectory data consists of  904 trajectories with 3419 ns cumulative simulation time and 1,709,704 snapshots with a delta t =2 ps from 42 different protein systems.

File Overview


	trajectory_data_pdbs.tar.gz : contains the PDB files of the different trajectories as well as the starting model and reference crystal structure for each target
	casp_normalized_all_data_final.csv.gz :  contains the trajectory features calculated for each snapshot from the trajectory PDBs
	cv_folds.csv : contains the 7 fold cross-validation assignment used to assess the performance of the model
	 


 

 

 ",10.5281/zenodo.1183354,CASP|protein refinement|molecular dynamics,,CASP|protein refinement|molecular dynamics,,2018-02-22,ZENODO,A large data-set of CASP protein refinement simulations for machine-learning,article,
http://creativecommons.org/licenses/by/4.0,Alessandro Nascimento,https://data.mendeley.com/datasets/ptxn54nc8m,DATASET|FILE_SET,2018-12-07,This dataset contains the MD trajectories of complexes of Trichoderma harzianum GH7 (Cel7B) in complex with a variety of substrates/ligands,10.17632/ptxn54nc8m.1,Biotechnology|Molecular Mechanics with Molecular Dynamics,Universidade de Sao Paulo Instituto de Fisica de Sao Carlos,Biotechnology|Molecular Mechanics with Molecular Dynamics,,2018-12-07,MENDELEY_DATA,Structure and Dynamics of Trichoderma harzianum Cel7B Suggest Molecular Architecture Adaptations Required for a Wide Spectrum of Activities on Plant Cell Wall Polysaccharides,article,1
info:eu-repo/semantics/openAccess,"Favela-Rosales, Fernando",https://zenodo.org/record/166034,OTHER|DATASET,2017-10-13,"MD simulation trajectory files, for fully hydrated POPC bilayer [512 POPC, 23943 WAT]. The SLIPIDS force field was used with Gromacs 4.6.3. Conditions: T=298K. 170 ns each trajectory, last 100 ns analyzed.",10.5281/zenodo.166034,"slipids, gromacs, molecular dynamics",,"slipids, gromacs, molecular dynamics",,2016-11-21,ZENODO,"MD simulation trajectory of a lipid bilayer: Pure POPC in water. SLIPIDS, Gromacs 4.6.3. 2016.",article,
